,equal_returns,industry_returns,NIFTY_returns
0,100000.0,100000.0,100000.0
1,99347.62141418457,99495.6377248764,100187.998046875
2,97571.57241821289,98005.54180049896,99564.00390625
3,97278.9630279541,97903.20205688477,99246.50390625
4,97474.54221343994,98219.12784576416,99829.501953125
5,97582.48133850098,98045.22760677338,99324.00390625
6,98139.2714767456,98715.19396686554,99757.5
7,97581.84215545654,98465.54824924469,99209.501953125
8,97445.7424621582,98435.25173950195,99325.498046875
9,97902.8317489624,98786.08666992188,99725.99609375
10,98356.061378479,99080.75726795197,100145.0
11,99798.91149139404,99798.74404144287,100794.00390625
12,99411.95196533203,99242.82756710052,100367.001953125
13,98051.41174316406,97490.24390888214,98977.998046875
14,98522.12171173096,97660.16463279724,98852.998046875
15,99058.23121643066,98105.18435382843,99855.498046875
16,99161.84085845947,98053.71723747253,99267.998046875
17,99130.43042755127,98186.38378715515,99877.001953125
18,97655.98974609375,97419.60406398773,99622.998046875
19,96682.66164398193,96391.42414188385,99355.0
20,96414.27020263672,96007.06386375427,99225.498046875
21,95362.01161956787,95318.06729888916,98304.501953125
22,95252.66194152832,94557.44143486023,97487.998046875
23,95274.02152252197,94190.91360569,96382.5
24,95044.32220458984,93470.15756225586,95977.5
25,94498.13115692139,92957.66407680511,95882.001953125
26,92082.93187713623,90717.12122821808,94579.501953125
27,92182.92157745361,90816.92388820648,95103.49609375
28,91784.03168487549,90535.68054008484,94580.99609375
29,91547.18057250977,90518.51985931396,95196.50390625
30,92251.86093902588,91151.14746570587,96277.001953125
31,95835.41031646729,94121.89349269867,99699.00390625
32,94784.15046691895,92774.4036769867,98768.49609375
33,95439.54097747803,92996.32400417328,98962.001953125
34,95274.84106445312,93064.09416294098,98507.5
35,97588.3511505127,94883.57095146179,100200.498046875
36,100522.75074005127,97047.2869091034,101029.00390625
37,102597.84069824219,98289.8342962265,101135.0
38,101760.03142547607,97661.88784885406,100551.50390625
39,102839.68056488037,98657.3740978241,101132.998046875
40,101734.03149414062,98045.05125427246,101030.498046875
41,102288.3404083252,98205.99360656738,102205.99609375
42,102639.62173461914,97883.207695961,101742.001953125
43,100414.96209716797,95872.35085010529,100205.0
44,99611.15009307861,95431.59664821625,100338.49609375
45,98804.39089202881,94610.31713676453,100638.49609375
46,98434.74073028564,94204.04721069336,101030.99609375
47,97831.05184936523,93523.66759490967,100479.501953125
48,97720.46105194092,92928.55373954773,100450.498046875
49,97155.16075134277,92418.10060119629,99679.501953125
50,95384.51100921631,90568.83035850525,98415.99609375
51,95166.1114730835,90366.07057142258,98493.49609375
52,93668.02014923096,88578.40080928802,98242.001953125
53,93463.59268951416,89709.94832468033,99440.0
54,93838.59130859375,90258.6472234726,98795.99609375
55,93711.59133148193,89980.74081277847,98620.99609375
56,93939.901512146,90196.86065626144,99308.49609375
57,94709.12142944336,90549.00112819672,99807.998046875
58,95830.72040557861,90947.16760110855,99903.49609375
59,95534.18139648438,90523.02082824707,99559.501953125
60,94928.23094940186,89660.45059776306,100110.0
61,95172.72142791748,90165.52064418793,100428.49609375
62,94510.04127502441,89782.81421470642,100552.998046875
63,94492.13175201416,90034.6742553711,100747.998046875
64,93113.49169921875,88763.98061227798,99556.50390625
65,91403.39099884033,86518.5341873169,97457.998046875
66,91692.35068511963,86907.98760032654,97536.50390625
67,91551.67163085938,86217.46026468277,96980.99609375
68,92304.53085327148,86789.64407300949,97644.00390625
69,92084.99006652832,86523.54682731628,97557.5
70,91655.44048309326,86217.1533870697,97671.50390625
71,92694.04116821289,86916.66101789474,98278.49609375
72,93440.23023986816,87235.55357217789,98413.49609375
73,91692.54225921631,85410.44104576111,97541.50390625
74,91093.48078155518,84647.58991909027,96026.50390625
75,90008.77153015137,84262.41421365738,95457.5
76,89953.49053955078,84123.39411020279,95315.498046875
77,87911.50230789185,82781.07483196259,94584.501953125
78,86709.69169616699,82212.63074350357,94571.50390625
79,86924.34149551392,81950.69020462036,94905.99609375
80,85876.9810218811,81291.3740029335,94069.00390625
81,83183.22188568115,79251.5639796257,93020.498046875
82,83204.30056762695,79647.85388040543,93429.501953125
83,81590.67060470581,78439.60020065308,92337.5
84,79830.82997894287,77332.76333522797,92419.501953125
85,78606.96194458008,75830.73776912689,91299.501953125
86,78719.73212432861,76518.10087537766,92165.99609375
87,79071.84194946289,76205.16099405289,91526.50390625
88,80039.0809173584,76542.05402231216,92776.50390625
89,80131.94186782837,76517.06782102585,93445.498046875
90,79406.17126464844,75726.6041855812,91880.99609375
91,79937.81173706055,76378.92453670502,92690.99609375
92,79949.59121704102,76315.17070007324,92867.998046875
93,79582.03185272217,75879.65774536133,92959.501953125
94,78921.0216255188,75421.87448358536,92554.00390625
95,78140.11126708984,74050.5070719719,91625.0
96,75559.59186553955,71960.14099740982,90172.5
97,76418.55221557617,72934.70101928711,90885.498046875
98,77653.85004043579,73902.07670497894,92627.001953125
99,79459.39078521729,75548.07414197922,93202.5
100,79332.76066970825,75077.65730953217,92689.00390625
101,79269.12138748169,74917.18705701828,92040.99609375
102,78915.30058670044,74808.46027994156,92755.498046875
103,77666.17003631592,73950.10039424896,91003.49609375
104,77633.38093948364,74392.54736566544,91310.99609375
105,78556.26122283936,75796.92414712906,91442.998046875
106,78923.78073120117,76191.2968826294,92184.00390625
107,79764.60131835938,76624.59380245209,92704.00390625
108,81248.28993988037,77452.99003458023,93131.50390625
109,81425.89057159424,77818.20101833344,92795.99609375
110,82685.52115249634,79704.40700817108,93488.49609375
111,83033.83176803589,80029.33755683899,93071.50390625
112,81866.64122009277,78843.07067680359,91519.00390625
113,81907.52269744873,78617.26791286469,91757.001953125
114,80435.05074310303,77098.34384727478,90644.501953125
115,82543.17124176025,79218.7340388298,95285.0
116,83073.57214355469,80846.52442073822,97845.99609375
117,82884.64236068726,80361.0809431076,97727.5
118,81730.39141464233,79301.73807764053,96421.50390625
119,83709.49027252197,80846.733877182,97417.998046875
120,82928.35244369507,80239.38098478317,96935.99609375
121,81923.18201446533,79620.84755516052,96389.00390625
122,80927.71083831787,78771.57359981537,95344.00390625
123,80932.62063217163,79409.9837436676,94964.00390625
124,80623.9409790039,78825.14372205734,93896.50390625
125,79923.21126174927,77803.07453536987,93386.50390625
126,80854.2409248352,78198.68728160858,94759.501953125
127,80906.67140197754,78053.8441772461,94107.5
128,81093.94241333008,78212.63478088379,94594.00390625
129,82440.62125396729,79343.06423807144,94906.50390625
130,82484.34074401855,80058.88301801682,95518.49609375
131,82706.15002441406,80694.51027536392,95798.49609375
132,83058.59227371216,80906.19069957733,96890.0
133,84714.79071807861,81893.82767438889,97772.001953125
134,84584.71187591553,81797.97093868256,97462.5
135,83372.70252609253,81001.8472776413,97566.50390625
136,82779.16143035889,80618.92725372314,97356.50390625
137,83002.21078491211,80755.45084285736,97290.99609375
138,83709.62281036377,81456.99158477783,
139,85178.3793334961,82420.192984581,98963.49609375
140,85773.11058807373,83384.82701015472,99455.498046875
141,86634.5110244751,84498.47653198242,99876.50390625
142,86335.72341918945,84112.87486076355,100020.0
143,87380.57134628296,84301.48762845993,100304.00390625
144,86576.53154373169,83729.26477241516,99920.498046875
145,87232.46068572998,83907.29062461853,100193.49609375
146,87223.34281921387,83464.7981171608,100622.998046875
147,86740.49181365967,82818.66407775879,99812.998046875
148,87157.60201263428,83101.44418287277,99938.49609375
149,85707.4008140564,81906.59698820114,99319.501953125
150,84949.199634552,81430.4033999443,99484.00390625
151,84601.59295272827,80741.8979678154,99652.998046875
152,83984.85126876831,80629.26382732391,99665.99609375
153,83719.56156158447,80605.72467708588,100001.50390625
154,84097.30152130127,80752.73362636566,100429.00390625
155,83163.03143692017,79729.02341794968,100103.49609375
156,82732.49159240723,79508.48727321625,99772.998046875
157,82866.61198425293,79611.90373039246,101000.498046875
158,82456.69068908691,79095.35024929047,100608.49609375
159,83034.95156097412,79701.67720031738,101139.501953125
160,83584.6215209961,79968.64736127853,101677.5
161,84259.82260131836,80003.39130973816,101116.50390625
162,84393.7513885498,79640.82389831543,100960.0
163,83319.33204650879,78707.01769924164,100411.50390625
164,82791.08005905151,78719.2068657875,100800.99609375
165,81901.42087554932,78282.80388641357,100555.99609375
166,80892.9105834961,77119.28393411636,99674.00390625
167,81228.78029251099,77341.1068072319,99694.501953125
168,80161.75204467773,76157.91044521332,98934.00390625
169,80569.79066085815,76498.52356243134,99342.5
170,80626.5700416565,76845.52360773087,99891.50390625
171,81204.79168701172,77380.52786922455,100815.99609375
172,81308.27141571045,77241.76467895508,100510.0
173,81979.9800453186,77590.31715583801,101293.49609375
174,81718.99096679688,77143.85056209564,101625.498046875
175,81557.85132598877,77173.45734977722,101902.998046875
176,81827.02169418335,77124.9543876648,102033.49609375
177,81643.2112121582,77375.58424186707,101956.50390625
178,81743.01216506958,77440.3512673378,101664.00390625
179,81072.35214996338,77056.46153831482,101152.001953125
180,82546.89245605469,78815.56105709076,102067.001953125
181,82837.89231872559,78851.88775539398,102227.001953125
182,83946.80104827881,80050.72394418716,101705.498046875
183,85017.20154571533,80433.22404289246,101865.498046875
184,86274.51232147217,81253.13761901855,102780.0
185,85937.47200775146,81710.56775522232,102396.50390625
186,83599.1515007019,79867.24456310272,100454.00390625
187,84522.7220916748,79999.46764326096,101034.00390625
188,84103.17094421387,79563.0235209465,100902.001953125
189,84679.23136901855,80014.37744760513,102419.00390625
190,84543.07093048096,80406.42723798752,102760.0
191,85564.92277526855,81165.2111196518,103405.0
192,86054.14134216309,81716.96400260925,103738.49609375
193,87613.74008178711,82755.99706840515,103850.498046875
194,87809.47151184082,83184.51037406921,104080.498046875
195,88685.8302116394,83588.71974563599,104167.001953125
196,87984.93111419678,82836.30367231369,103237.001953125
197,87825.93170928955,82326.89401245117,102855.498046875
198,86790.87237548828,81030.20133829117,102450.0
199,88244.33084106445,82287.7104177475,103194.00390625
200,88642.59102630615,83256.72028160095,103817.001953125
