,equal_returns,industry_returns,NIFTY_returns
0,100000.0,100000.0,100000.0
1,99862.40688991547,99464.4197268486,96712.802734375
2,102297.3005104065,102072.46618413925,94983.802734375
3,106997.3991060257,106627.84927463531,102131.5
4,108798.04025650024,107918.23561048508,102305.802734375
5,114447.10493087769,112714.88557243347,106228.5986328125
6,115645.86333465576,114325.39028787613,105090.4013671875
7,117260.43026351929,116575.9726986885,104866.4013671875
8,121050.77560806274,120236.91279745102,105817.697265625
9,122481.92674446106,123151.4797949791,108647.0986328125
10,124914.04279327393,125405.46223402023,108649.9013671875
11,119263.72692298889,120006.97987890244,105587.4013671875
12,118685.16045761108,119205.12959241867,107518.697265625
13,118362.73600578308,119719.72612524033,108799.697265625
14,115526.16062164307,117347.87953233719,106953.802734375
15,116587.87211227417,117786.61901140213,108500.802734375
16,118291.3030166626,118743.77539873123,109459.802734375
17,120319.48849105835,119556.29375123978,111206.302734375
18,123032.2367401123,123001.50974702835,114226.0986328125
19,118361.68046569824,118766.67333936691,108402.0986328125
20,117181.74063873291,118410.6534075737,107368.197265625
21,117940.99051856995,117504.319668293,108102.5
22,117267.94701766968,116170.75655031204,107337.4013671875
23,116441.3563156128,115361.40276765823,107773.5
24,116450.1637763977,114680.73988103867,107835.0986328125
25,113247.31917190552,113045.95890283585,107338.0986328125
26,115121.71327400208,114743.7725739479,109383.5
27,113836.47312736511,113137.03641080856,107249.197265625
28,113858.37685775757,113000.48010873795,107102.197265625
29,109358.67661476135,108854.99663114548,103479.0
30,110507.03232574463,110020.94884729385,104028.5
31,111399.96572303772,111664.31617212296,106021.4013671875
32,113245.33922958374,112150.11919736862,106633.9013671875
33,112746.09901809692,111716.84918642044,105869.5
34,113357.14403533936,112223.37985563278,105988.5
35,114129.48255348206,112878.26622533798,108383.197265625
36,116370.84607887268,114652.80602884293,110297.0
37,118873.7827205658,117702.88292074203,111559.0986328125
38,120932.15597343445,120429.06888151169,114326.9013671875
39,123159.19290733337,121869.59640550613,115969.802734375
40,127475.408618927,125633.64555978775,116887.5
41,129124.80210876465,127065.88538503647,116648.0986328125
42,134790.68068695068,132700.25670576096,118236.39453125
43,140200.55926322937,139295.0624976158,118580.802734375
44,137292.1169757843,136750.04989671707,117378.89453125
45,137999.2863998413,137030.1426167488,118152.39453125
46,135320.49666786194,134311.20686769485,115963.5
47,135635.0782470703,134025.22227716446,116795.10546875
48,136843.3108291626,133995.61318159103,115255.802734375
49,136281.52438163757,133044.0620379448,116177.697265625
50,136402.3214454651,133226.51848840714,116011.802734375
51,138942.28483200073,135515.94100618362,118016.60546875
52,142006.120967865,137723.44350385666,119693.10546875
53,142379.1085319519,139371.44604158401,120855.802734375
54,143689.4525794983,141733.4930281639,122740.89453125
55,144149.2275905609,141575.6127371788,120993.0
